N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
5127	ORCHIDACEAE	Stelis	Stelis lehmanneptis	(Luer & R.Escobar) Pridgeon & M.W.Chase	Pleurothallis lehmanneptis Luer & R.Escobar, Specklinia lehmanneptis (Luer & R.Escobar) Luer	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2013		Hierba, Ep?fita	Nativa	No Evaluada	Luer 18449 (HT: MO)	Conocida solo del tipo				Valle	
5128	ORCHIDACEAE	Stelis	Stelis lehmannii	Pridgeon & M.W.Chase	Pleurothallis petiolaris Luer, Specklinia petiolaris (Luer) Luer	Luer 2004, Viveros & Higgins 2007, Govaerts et al. 2013		Hierba, Ep?fita	Nativa	No Evaluada	Lehmann 9099 (HT: K)	Tipo de Colombia	Pac?fico	200 m	400 m	Cauca	
5129	ORCHIDACEAE	Stelis	Stelis londonnii	O.Duque		Viveros & Higgins 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1424 (HT: JAUM)	Tipo de Colombia	Andes	1000 m	1000 m	Antioquia	
5130	ORCHIDACEAE	Stelis	Stelis longipetala	O.Duque		Viveros & Higgins 2007, Id?rraga et al. 2011		Hierba, Ep?fita	Nativa	No Evaluada	Duque 1903 (HT: JAUM)	Conocida solo del tipo	Andes	2500 m	2500 m	Antioquia	
5131	ORCHIDACEAE	Stelis	Stelis longiracemosa	Schltr.		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 118 (?)	Tipo de Colombia	Andes	2200 m	2200 m	Nari?o	
5132	ORCHIDACEAE	Stelis	Stelis lopezii	Luer		Govaerts et al. 2012		Hierba, Ep?fita	Nativa	No Evaluada	L?pez 8391 (HT: COL)		Andes	1100 m	1100 m	Valle	
5133	ORCHIDACEAE	Stelis	Stelis lumbricosa	O.Duque		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Duque 585 (HT: JAUM)	Tipo de Colombia		2000 m	2000 m	Santander	
5134	ORCHIDACEAE	Stelis	Stelis magnipetala	Schltr.		Viveros & Higgins 2007, Duque 2008		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 47 (HT: ?)	Tipo de Colombia	Andes	3000 m	3000 m	Nari?o	
5135	ORCHIDACEAE	Stelis	Stelis mesohybos	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopf s.n. (HT: ?)	Tipo de Colombia	Andes	2000 m	2500 m	Cundinamarca	
5136	ORCHIDACEAE	Stelis	Stelis mocoana	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 159 (HT: ?)	Tipo de Colombia	Andes	650 m	650 m	Putumayo	
5137	ORCHIDACEAE	Stelis	Stelis mucronipetala	Schltr.		Viveros & Higgins 2007		Hierba, Ep?fita	Nativa	No Evaluada	Hopp 135 (HT: ?)	Tipo de Colombia	Andes	2800 m	2800 m	Nari?o	
