N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
1095	ASTERACEAE	Espeletia	Espeletia chocontana	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	Cuatrecasas 9646 (COL)	Tipo de Colombia	Andes	2760 m	3700 m	Arauca, Boyac?, Cundinamarca	Cordillera Oriental
1096	ASTERACEAE	Espeletia	Espeletia chontalensis	Rodr.-Cabeza & S.D?az		D?az-P. & Rodr?guez-Cabeza 2008, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Vulnerable	"Rodr?guez-Cabeza 1874 (HT: COL	 IT: COL, UIS)"	Conocida solo del tipo	Andes	3744 m	3744 m	Boyac?, Santander	Cordillera Oriental
1097	ASTERACEAE	Espeletia	Espeletia cleefii	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Arbusto	Nativa	Casi Amenazada	"Cleef 5922 (HT: US	 IT: COL, U)"	Tipo de Colombia	Andes	3500 m	4300 m	Arauca, Boyac?	Cordillera Oriental
1098	ASTERACEAE	Espeletia	Espeletia congestiflora	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Preocupaci?n Menor	Cuatrecasas 10366 (HT: COL, IT: F, P, US)	Tipo de Colombia	Andes	2500 m	4000 m	Boyac?, Cundinamarca, Norte de Santander, Santander	Cordillera Oriental
1099	ASTERACEAE	Espeletia	Espeletia curialensis	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia curialensis var. exigua Rodr?guez-Cabeza & S.D?az	Hierba, Arbusto	Nativa	Casi Amenazada	"Cuatrecasas 27790 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	2900 m	3650 m	Arauca, Boyac?, Casanare	Cordillera Oriental
1100	ASTERACEAE	Espeletia	Espeletia discoidea	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia discoidea var. brevis Cuatrec.	Hierba, Arbusto	Nativa	En Peligro	"Cuatrecasas 10358 (HT: COL	 IT: COL, F, P, US)"	Tipo de Colombia	Andes	3200 m	3910 m	Boyac?, Santander	Cordillera Oriental
1101	ASTERACEAE	Espeletia	Espeletia dugandii	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro Cr?tico	"Cuatrecasas 9889 (HT: COL	 IT: F, US)"	Tipo de Colombia	Andes	3100 m	3400 m	Santander	Cordillera Oriental
1102	ASTERACEAE	Espeletia	Espeletia episcopalis	Rodr.-Cabeza & S.D?az		D?az-P. et al. 2006, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1498 (HT: COL	 IT: UIS)"	Tipo de Colombia	Andes	3700 m	3700 m	Boyac?, Casanare	Cordillera Oriental
1103	ASTERACEAE	Espeletia	Espeletia estanislana	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	Miguel s.n. (HT: US)	Tipo de Colombia	Andes	3200 m	4100 m	Norte de Santander, Santander	Cordillera Oriental
1104	ASTERACEAE	Espeletia	Espeletia formosa	S.D?az & Rodr.-Cabeza		D?az-P. et al. 2006, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1407 (HT: COL	 IT: COL)"	Conocida solo del tipo	Andes	3414 m	3414 m	Boyac?	Cordillera Oriental
1105	ASTERACEAE	Espeletia	Espeletia frontinoensis	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Arbusto	Nativa	Preocupaci?n Menor	"Boeke 234 (HT: US	 IT: NY)"	Tipo de Colombia	Andes	3000 m	3700 m	Antioquia, Choc?, Risaralda, Valle	Cordillera Occidental
1106	ASTERACEAE	Espeletia	Espeletia grandiflora	Humb. & Bonpl.	Espeletia grandiflora var. boyacana Cuatrec., Espeletia grandiflora var. subnivalis Cuatrec., Espeletia grandiflora f. longiligulata Cuatrec., Espeletia grandiflora f. multiflora Cuatrec., Espeletia grandiflora f. reducta Cuatrec.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia grandiflora subsp. boyacana (Cuatrec.) Cuatrec., Espeletia grandiflora subsp. subnivalis (Cuatrec.) Cuatrec., Espeletia grandiflora var. attenuata Cuatrec.	Hierba, Arbusto	Nativa	Preocupaci?n Menor	"Humboldt s.n. (HT: P 	 IT: P)"	Tipo de Colombia	Andes	2120 m	4100 m	Antioquia, Boyac?, Cundinamarca, Meta, Santander	Cordillera Oriental
1107	ASTERACEAE	Espeletia	Espeletia hartwegiana	Sch.Bip.	Espeletia centroandina Cuatrec., Espeletia grandiflora var. hartwegiana (Cuatrec.) Benoist	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia hartwegiana subsp. barragensis Cuatrec., Espeletia hartwegiana subsp. centroandina Cuatrec., Espeletia hartwegiana var. morarum Cuatrec., Espeletia hartwegiana var. vegasana Cuatrec.	Arbusto, Arbolito	Nativa	Preocupaci?n Menor	"Hartweg 1137 (LT: G 	 IT: P, FI, G, K, LE, W)"	Tipo de Colombia	Andes	2370 m	4500 m	Antioquia, Caldas, Cauca, Huila, Nari?o, Putumayo, Quind?o, Risaralda, Santander, Tolima, Valle	Cordillera Central
1108	ASTERACEAE	Espeletia	Espeletia idroboi	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	"Idrobo 3212 (HT: COL	 IT: P)"	Tipo de Colombia	Andes	2910 m	3470 m	Cauca, Huila	Cordillera Central
1109	ASTERACEAE	Espeletia	Espeletia incana	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia incana f. prolificens Cuatrec.	Hierba, Arbusto	Nativa	Vulnerable	"Cuatrecasas 10430 (HT: COL	 IT: COL, F, P, US)"	Tipo de Colombia	Andes	2900 m	3900 m	Boyac?, Santander	Cordillera Oriental
1110	ASTERACEAE	Espeletia	Espeletia jaramilloi	S.D?az		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Vulnerable	Jaramillo 5047 (HT: COL)	Tipo de Colombia	Andes	3480 m	3750 m	Boyac?	Cordillera Oriental
1111	ASTERACEAE	Espeletia	Espeletia killipii	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia killipii var. chisacana Cuatrec.	Hierba, Arbusto	Nativa	Preocupaci?n Menor	"Garc?a-Barriga 8117 (HT: COL	 IT: US)"	Tipo de Colombia	Andes	2120 m	4010 m	Boyac?, Cundinamarca	Cordillera Oriental
1112	ASTERACEAE	Espeletia	Espeletia lopezii	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia lopezii f. alticola Cuatrec., Espeletia lopezii subsp. ursina Cuatrec., Espeletia lopezii var. escobalensis Cuatrec., Espeletia lopezii var. major Cuatrec.	Hierba, Arbusto	Nativa	Preocupaci?n Menor	"Cuatrecasas 1540 (HT: COL	 IT: F, P, US)"	Tipo de Colombia	Andes	3100 m	4550 m	Arauca, Boyac?, Cundinamarca	Cordillera Oriental
1113	ASTERACEAE	Espeletia	Espeletia marnixiana	S.D?az & Pedraza		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Vulnerable	Becking 1042 (HT: COL)	Conocida solo del tipo	Andes	3250 m	3250 m	Cauca	Cordillera Central
1114	ASTERACEAE	Espeletia	Espeletia mirabilis	S.D?az & Rodr.-Cabeza		D?az-P. & Rodr?guez-Cabeza 2010, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 2001 (HT: COL	 IT: COL, HUA, UIS, UPTC)"	Tipo de Colombia	Andes	3500 m	3600 m	Boyac?	Cordillera Oriental
1115	ASTERACEAE	Espeletia	Espeletia miradorensis	(Cuatrec.) Cuatrec.	Espeletia grandiflora var. miradorensis Cuatrec.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Casi Amenazada	"Cleef 8421 (HT: US	 IT: COL, U)"	Conocida solo del tipo	Andes	3560 m	3560 m	Cundinamarca	Cordillera Oriental
1116	ASTERACEAE	Espeletia	Espeletia murilloi	Cuatrec.	Espeletia murilloi var. rusiana Cuatrec., Espeletia murilloi var. subcoriacea Cuatrec.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Preocupaci?n Menor	"P?rez-Arbel?ez 8098 (HT: COL	 IT: F, US)"	Tipo de Colombia	Andes	2700 m	3700 m	Boyac?, Cundinamarca, Santander	Cordillera Oriental
1117	ASTERACEAE	Espeletia	Espeletia mutabilis	S.D?az & Rodr.-Cabeza		D?az-P. et al. 2006, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1675 (HT: COL	 IT: COL, UIS)"	Conocida solo del tipo	Andes	3700 m	3700 m	Boyac?	Cordillera Oriental
1118	ASTERACEAE	Espeletia	Espeletia nemekenei	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Vulnerable	"Cuatrecasas 10348 (HT: COL	 IT: COL, F, US)"	Tipo de Colombia	Andes	2850 m	3500 m	Arauca, Boyac?, Santander	Cordillera Oriental
1119	ASTERACEAE	Espeletia	Espeletia occidentalis	A.C.Sm.	Espeletia occidentalis var. antioquensis Cuatrec.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Casi Amenazada	"Pennell 4266 (HT: NY	 IT: GH, US)"	Tipo de Colombia	Andes	3000 m	3750 m	Antioquia, Bol?var, Choc?	Cordillera Central
1120	ASTERACEAE	Espeletia	Espeletia oswaldiana	S.D?az		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro Cr?tico	"D?az 74 (HT: COL	 IT: US)"	Tipo de Colombia	Andes	2500 m	3015 m	Boyac?	Cordillera Oriental
1121	ASTERACEAE	Espeletia	Espeletia paipana	S.D?az & Pedraza		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro Cr?tico	"Stan??k 1507 (HT: COL	 IT: COL)"	Tipo de Colombia	Andes	3300 m	3400 m	Boyac?	Cordillera Oriental
1122	ASTERACEAE	Espeletia	Espeletia pescana	(S.D?az) S.D?az	Espeletia brachyaxiantha subsp. pescana S.D?az	D?az-P. & Rodr?guez-Cabeza 2008, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Bejarano 257 (HT: COL	 IT: COL)"	Tipo de Colombia	Andes	3600 m	3800 m	Boyac?	Cordillera Oriental
1123	ASTERACEAE	Espeletia	Espeletia pisbana	S.D?az & Rodr.-Cabeza		D?az-P. et al. 2006, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1389 (HT: COL	 IT	 COL)"	Tipo de Colombia	Andes	3406 m	3406 m	Boyac?, Caldas	Cordillera Oriental
1124	ASTERACEAE	Espeletia	Espeletia praefrontina	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Vulnerable	"Boeke 273 (HT: US	 IT: NY)"	Conocida solo del tipo	Andes	3100 m	3500 m	Antioquia	Cordillera Central
1125	ASTERACEAE	Espeletia	Espeletia pulcherrima	Rodr.-Cabeza & S.D?az		D?az-P. et al. 2006, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1520 (HT: COL	 IT: UIS)"	Conocida solo del tipo	Andes	3300 m	3300 m	Boyac?	Cordillera Oriental
1126	ASTERACEAE	Espeletia	Espeletia raquirensis	S.D?az & Rodr.-Cabeza		D?az-P. & Rodr?guez-Cabeza 2010, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1973 (HT: COL	 IT: COL, HUA, UIS, UPTC)"	Conocida solo del tipo	Andes	3200 m	3200 m	Boyac?	Cordillera Oriental
1127	ASTERACEAE	Espeletia	Espeletia roberti	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro Cr?tico	"Garc?a-Barriga 20648 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	3100 m	3960 m	Cesar, La Guajira, Norte de Santander, Santander	Cordillera Oriental
1128	ASTERACEAE	Espeletia	Espeletia rositae	Cuatrec.	Espeletia rositae var. macrocephala Cuatrec.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia rositae subsp. macrocephala (Cuatrec.) Cuatrec.	Hierba, Arbusto	Nativa	En Peligro	"Cuatrecasas 10371 (HT: COL	 IT: COL, F, US)"		Andes	3300 m	4050 m	Boyac?, Caldas, Norte de Santander, Santander	Cordillera Oriental
1129	ASTERACEAE	Espeletia	Espeletia schultesiana	Cuatrec.	Espeletia alternifolia Cuatrec.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia schultesiana f. alternifolia (Cuatrec.) Cuatrec.	Hierba, Arbusto	Nativa	Vulnerable	"Schultes 3096 (HT: COL	 IT: BR, C, COL, F, FI, G, GH, HPUJ, MO, NCU, NY, P, U, US, W)"	Tipo de Colombia	Andes	2500 m	3200 m	Nari?o, Putumayo, Tolima	Cordillera Oriental
1130	ASTERACEAE	Espeletia	Espeletia smithiana	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	Cuatrecasas 10315 (IT: COL)	Tipo de Colombia	Andes	3400 m	3400 m	Santander	Cordillera Oriental
1131	ASTERACEAE	Espeletia	Espeletia soroca	S.D?az & Rodr.-Cabeza		D?az-P. et al. 2006, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 150 (HT: COL	 IT: COL)"	Conocida solo del tipo	Andes	3200 m	3200 m	Boyac?	Cordillera Oriental
1132	ASTERACEAE	Espeletia	Espeletia standleyana	A.C.Sm.	Espeletia standleyana var. ampla Cuatrec., Espeletia standleyana var. laxior Cuatrec.	Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013	Espeletia standleyana subsp. ampla (Cuatrec.) Cuatrec., Espeletia standleyana subsp. laxior (Cuatrec.) Cuatrec.	Hierba, Arbusto	Nativa	Vulnerable	Killip 19558 (T: F)	Tipo de Colombia	Andes	2900 m	3962 m	Boyac?, Norte de Santander, Santander	Cordillera Oriental
1133	ASTERACEAE	Espeletia	Espeletia summapacis	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Casi Amenazada	"Uribe-Uribe 6895 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	3500 m	4000 m	Cundinamarca	Cordillera Oriental
1134	ASTERACEAE	Espeletia	Espeletia tapirophila	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Vulnerable	"Cleef 8301 (HT: US	 IT: COL, U)"	Conocida solo del tipo	Andes	3400 m	3400 m	Cundinamarca, Meta	Cordillera Oriental
1135	ASTERACEAE	Espeletia	Espeletia tibamoensis	Rodr.-Cabeza & S.D?az		D?az-P. & Rodr?guez-Cabeza 2010, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1959 (HT: COL	 IT: COL, HUA, UIS, UPTC)"	Tipo de Colombia	Andes	3500 m	3700 m	Boyac?	Cordillera Oriental
1136	ASTERACEAE	Espeletia	Espeletia tunjana	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	"Cuatrecasas 10338 (LT: COL	 IT: F, US)"	Tipo de Colombia	Andes	2000 m	3600 m	Boyac?	Cordillera Oriental
1137	ASTERACEAE	Espeletia	Espeletia uribei	Cuatrec.		Cuatrecasas 1976, Diazgranados 2012, Cuatrecasas 2013		Arbusto, Arbolito	Nativa	Preocupaci?n Menor	"Uribe-Uribe 2475 (HT: F	 IT: P, US)"	Tipo de Colombia	Andes	1900 m	3700 m	Boyac?, Cundinamarca, Huila, Meta	Cordillera Oriental
1138	ASTERACEAE	Espeletiopsis	Espeletiopsis betancurii	Rodr.-Cabeza et al.		Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1515 (HT: COL	 IT: UIS)"	Tipo de Colombia	Andes	3200 m	3200 m	Boyac?	Cordillera Oriental
1139	ASTERACEAE	Espeletiopsis	Espeletiopsis caldasii	(Cuatrec.) Cuatrec.	Espeletia caldasii Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	Cuatrecasas 10317 (HT: US)	Tipo de Colombia	Andes	3200 m	3600 m	Norte de Santander, Santander	Cordillera Oriental
1140	ASTERACEAE	Espeletiopsis	Espeletiopsis colombiana	(Cuatrec.) Cuatrec.	Espeletia colombiana Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Preocupaci?n Menor	"Cuatrecasas 1432 (HT: US	 IT: F)"	Tipo de Colombia	Andes	3470 m	4500 m	Arauca, Boyac?, Cundinamarca	Cordillera Oriental
1141	ASTERACEAE	Espeletiopsis	Espeletiopsis diazii	Diazgr. & L.R.S?nchez		Diazgranados & S?nchez 2013		Arbusto	Nativa	No Evaluada	"Diazgranados 3898 (HT: COL	 IT: COL HECASA) (HT: P	 IT: F, G)"	Tipo de Colombia	Andes	3300 m	3500 m	Norte de Santander	Cordillera Oriental
1142	ASTERACEAE	Espeletiopsis	Espeletiopsis funckii	(Wedd.) Cuatrec.	Espeletia funckii Wedd.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Vulnerable	"Funck 1290 (HT: P	 IT: F, G)"	Tipo de Colombia	Andes	3600 m	3800 m	Norte de Santander, Santander	Cordillera Oriental
1143	ASTERACEAE	Espeletiopsis	Espeletiopsis garciae	(Cuatrec.) Cuatrec.	Espeletia garciae Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	Uribe-Uribe 6491 (HT: US)	Tipo de Colombia	Andes	1990 m	3640 m	Boyac?, Cundinamarca, Santander	Cordillera Oriental
1144	ASTERACEAE	Espeletiopsis	Espeletiopsis guacharaca	(S.D?az) Cuatrec.	Espeletia guacharaca S.D?az, Espeletiopsis jimenez-quesadae var. guacharaca (S.D?az) Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"D?az 42 (HT: COL	 IT: US)"	Tipo de Colombia	Andes	2900 m	3700 m	Boyac?	Cordillera Oriental
1145	ASTERACEAE	Espeletiopsis	Espeletiopsis insignis	(Cuatrec.) Cuatrec.	Espeletia insignis Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Arbusto	Nativa	En Peligro Cr?tico	"Cuatrecasas 10071 (HT: COL	 IT: BC, F, US)"	Tipo de Colombia	Andes	2800 m	3300 m	Norte de Santander	Cordillera Oriental
1146	ASTERACEAE	Espeletiopsis	Espeletiopsis jimenez-quesadae	(Cuatrec.) Cuatrec.	Espeletia jimenez-quesadae Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Preocupaci?n Menor	"Cuatrecasas 1635 (HT: COL	 IT: US)"	Tipo de Colombia	Andes	2200 m	3850 m	Boyac?, Santander, Valle	Cordillera Oriental
1147	ASTERACEAE	Espeletiopsis	Espeletiopsis muiska	(Cuatrec.) Cuatrec.	Espeletia muiska Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Preocupaci?n Menor	"Cuatrecasas 10359 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	2700 m	3810 m	Boyac?, Norte de Santander, Santander	Cordillera Oriental
1148	ASTERACEAE	Espeletiopsis	Espeletiopsis petiolata	(Cuatrec.) Cuatrec.	Espeletia petiolata Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Preocupaci?n Menor	"Cuatrecasas 9973 (HT: BC, US	 IT: COL, F)"	Tipo de Colombia	Andes	2400 m	3970 m	Arauca, Boyac?, Caldas, Norte de Santander, Santander	Cordillera Oriental
1149	ASTERACEAE	Espeletiopsis	Espeletiopsis pleiochasia	(Cuatrec.) Cuatrec.	Espeletia pleiochasia Cuatrec., Espeletia pleiochasia var. socotana Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	Preocupaci?n Menor	"Cuatrecasas 10399 (HT: COL	 IT: BC, COL, F, HPUJ, U, US)"	Tipo de Colombia	Andes	2200 m	3624 m	Boyac?, Cundinamarca, Magdalena, Santander	Cordillera Oriental
1150	ASTERACEAE	Espeletiopsis	Espeletiopsis rabanalensis	S.D?az & Rodr.-Cabeza		Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"Rodr?guez-Cabeza 1895 (HT: COL	 IS: COL, UIS)"	Tipo de Colombia	Andes	3412 m	3412 m	Boyac?	Cordillera Oriental
1151	ASTERACEAE	Espeletiopsis	Espeletiopsis sanchezii	S.D?az & Obando		Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	No Evaluada	"S?nchez 7281 (HT: COL	 IT: COL)"	Tipo de Colombia	Andes	3200 m	3300 m	Norte de Santander	Cordillera Oriental
1152	ASTERACEAE	Espeletiopsis	Espeletiopsis santanderensis	(A.C.Sm.) Cuatrec.	Espeletia santanderensis A.C.Sm.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Subarbusto, Arbusto	Nativa	Preocupaci?n Menor	"Killip 17422 (HT: NY	 IT: G, NY)"	Tipo de Colombia	Andes	2500 m	4300 m	Norte de Santander, Santander	Cordillera Oriental
1153	ASTERACEAE	Espeletiopsis	Espeletiopsis sclerophylla	(Cuatrec.) Cuatrec.	Espeletia sclerophylla Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Hierba, Arbusto	Nativa	En Peligro	"Cuatrecasas 9929 (HT: COL	 IT: F, US)"	Tipo de Colombia	Andes	2850 m	3700 m	Boyac?, Norte de Santander, Santander	Cordillera Oriental
1154	ASTERACEAE	Espeletiopsis	Espeletiopsis trianae	(Cuatrec.) Cuatrec.	Espeletia trianae Cuatrec.	Cuatrecasas 1996, Diazgranados 2012, Cuatrecasas 2013		Arbusto, Arbolito	Nativa	Vulnerable	Triana 2476-5 (HT: COL)	Tipo de Colombia	Andes	3000 m	3000 m	Norte de Santander	Cordillera Oriental
1155	ASTERACEAE	Fleischmannia	Fleischmannia cuatrecasasii	R.M.King & H.Rob.		King & Robinson 1972d, King & Robinson 1987		Hierba	Nativa	No Evaluada	Core 1549 (HT: US)	Tipo de Colombia	Pac?fico	30 m	40 m	Valle	O Colombia
1156	ASTERACEAE	Fleischmannia	Fleischmannia haughtii	R.M.King & H.Rob.		King & Robinson 1974b, King & Robinson 1987		Hierba	Nativa	No Evaluada	Haught 5560 (HT: US)	Conocida solo del tipo	Pac?fico	100 m	100 m	Choc?	
1157	ASTERACEAE	Fleischmannia	Fleischmannia lellingeri	R.M.King & H.Rob.		King & Robinson 1974c, King & Robinson 1987		Hierba	Nativa	No Evaluada	Lellinger 223 (HT: US)	Conocida solo del tipo	Pac?fico	1450 m	1750 m	Choc?	Serran?a del Dari?n
1158	ASTERACEAE	Fleischmannia	Fleischmannia magdalenensis	(B.L.Rob.) R.M.King & H.Rob.		Robinson 1918a, Robinson 1918b, King & Robinson 1987		Trepadora	Nativa	No Evaluada	Smith 1993 (T: US)	Tipo de Colombia	Sierra Nevada de Santa Marta	1680 m	2920 m	Cesar, La Guajira, Magdalena	
1159	ASTERACEAE	Fleischmannia	Fleischmannia mayorii	(B.L.Rob.) R.M.King & H.Rob.		King & Robinson 1970e, King & Robinson 1987		Hierba	Nativa	No Evaluada	Forero 3606 (COL)		Andes	1815 m	2700 m	Antioquia, Bol?var, Caldas, Risaralda, Tolima, Valle	Cordilleras Central y Occidental
1160	ASTERACEAE	Fleischmannia	Fleischmannia narinoensis	H.Rob.		Robinson 2001		Hierba	Nativa	No Evaluada	"Croat 71273 (HT : PSO	 IT: MO, US)"	Tipo de Colombia	Andes	1600 m	1900 m	Nari?o	
1161	ASTERACEAE	Fleischmannia	Fleischmannia pennellii	(B.L.Rob.) R.M.King & H.Rob.	Eupatorium pennellii B.L.Rob.	Robinson 1918a, Robinson 1918b, King & Robinson 1987		Hierba	Nativa	No Evaluada	Rusby 626 (HT: GH)	Tipo de Colombia	Andes	2200 m	3400 m	Huila, Putumayo	
1162	ASTERACEAE	Flosmutisia	Flosmutisia paramicola	Cuatrec.		Cuatrecasas 1986		Hierba	Nativa	No Evaluada	Kirkbride 1789 (T: COL)	Tipo de Colombia	Sierra Nevada de Santa Marta	3480 m	3480 m	Magdalena	
1163	ASTERACEAE	Garcibarrigoa	Garcibarrigoa sibundoya	S.D?az & Pedraza		Cuatrecasas 1986		Hierba	Nativa	No Evaluada	Ishikawa 18645 (HT: COL)	Tipo de Colombia	Andes	2200 m	2200 m	Putumayo	
1164	ASTERACEAE	Gnaphalium	Gnaphalium rosulatum	S.Moore		Luteyn 1999		Hierba	Nativa	No Evaluada	Cuatrecasas 24663 (COL)		Sierra Nevada de Santa Marta	3100 m	4900 m	Magdalena	
1165	ASTERACEAE	Gongrostylus	Gongrostylus pipolyi	H.Rob.		Robinson 1998		Trepadora	Nativa	No Evaluada	"Pipoly 18406 (HT: JAUM	 IT: MO, US)"	Conocida solo del tipo	Andes, Pac?fico	100 m	900 m	Antioquia, Choc?	
1166	ASTERACEAE	Gongylolepis	Gongylolepis cortesii	(S.D?az) Pruski & S.D?az	Eurydochus cortesii S.D?az	D?az-P. & V?lez-Nauer 1993, Steyermark et al. 1997		Arbolito	Nativa	No Evaluada	"Cort?s-B. 238 (HT: COL	 IT: US)"	Tipo de Colombia	Guayana y Serran?a de La Macarena	600 m	900 m	Guain?a	Serran?a del Naqu?n
1167	ASTERACEAE	Gynoxys	Gynoxys apollinaris	Cuatrec.		D?az-P. & Correa 2002		Subarbusto	Nativa	No Evaluada	"Tom?s Alberto 1884 (HT: F	 IT: MEDEL)"	Tipo de Colombia	Andes	3600 m	3700 m	Caldas	Cordillera Central
